,location,size,total_sqft,bath,price
39,5th Phase JP Nagar,3,1550.0,3.0,75.0
40,5th Phase JP Nagar,2,1190.0,2.0,61.8
41,5th Phase JP Nagar,2,1080.0,2.0,53.0
42,5th Phase JP Nagar,2,1041.0,2.0,54.0
43,5th Phase JP Nagar,2,812.0,2.0,42.0
44,5th Phase JP Nagar,3,1450.0,2.0,73.0
45,6th Phase JP Nagar,2,1192.0,2.0,74.0
46,6th Phase JP Nagar,2,1180.0,2.0,80.0
47,6th Phase JP Nagar,4,3245.0,4.0,250.0
48,6th Phase JP Nagar,3,1645.0,3.0,100.0
49,6th Phase JP Nagar,2,1140.0,2.0,65.0
50,6th Phase JP Nagar,2,1460.0,2.0,80.0
51,6th Phase JP Nagar,3,1810.0,3.0,131.0
52,6th Phase JP Nagar,2,1192.0,2.0,75.0
53,6th Phase JP Nagar,2,1280.0,2.0,88.0
54,7th Phase JP Nagar,2,1080.0,2.0,72.0
55,7th Phase JP Nagar,2,1270.0,2.0,93.0
56,7th Phase JP Nagar,3,1420.0,2.0,100.0
57,7th Phase JP Nagar,2,1245.0,2.0,94.0
58,7th Phase JP Nagar,2,1175.0,2.0,82.0
59,7th Phase JP Nagar,3,1400.0,2.0,95.0
60,7th Phase JP Nagar,3,2225.0,3.0,160.0
61,7th Phase JP Nagar,2,1050.0,2.0,71.0
62,7th Phase JP Nagar,2,918.0,2.0,50.49
63,7th Phase JP Nagar,3,1450.0,2.0,100.0
64,7th Phase JP Nagar,3,1420.0,2.0,96.0
65,7th Phase JP Nagar,3,1680.0,3.0,120.0
66,7th Phase JP Nagar,2,980.0,2.0,69.0
67,7th Phase JP Nagar,2,1180.0,2.0,72.0
68,7th Phase JP Nagar,3,1050.0,2.0,57.0
69,7th Phase JP Nagar,2,1270.0,2.0,83.0
70,7th Phase JP Nagar,4,2503.0,4.0,188.0
71,7th Phase JP Nagar,3,1575.0,2.0,110.0
72,7th Phase JP Nagar,3,1850.0,3.0,140.0
73,7th Phase JP Nagar,3,1680.0,3.0,120.0
74,7th Phase JP Nagar,2,1175.0,2.0,82.5
75,7th Phase JP Nagar,2,1215.0,2.0,90.0
76,7th Phase JP Nagar,2,1050.0,2.0,75.0
77,7th Phase JP Nagar,3,1300.0,3.0,89.13
78,7th Phase JP Nagar,2,1130.0,2.0,73.0
79,7th Phase JP Nagar,3,1450.0,3.0,100.0
80,7th Phase JP Nagar,2,1275.0,2.0,87.0
81,7th Phase JP Nagar,3,1650.0,3.0,110.0
82,7th Phase JP Nagar,3,1680.0,3.0,117.0
83,7th Phase JP Nagar,3,1680.0,3.0,125.0
84,7th Phase JP Nagar,2,1000.0,2.0,61.0
85,7th Phase JP Nagar,3,1460.0,2.0,100.0
86,7th Phase JP Nagar,3,1650.0,3.0,110.0
87,7th Phase JP Nagar,2,1000.0,2.0,70.65
88,7th Phase JP Nagar,2,1080.0,2.0,75.0
89,7th Phase JP Nagar,3,1680.0,3.0,125.0
90,7th Phase JP Nagar,3,1460.0,2.0,97.0
91,7th Phase JP Nagar,2,1120.0,2.0,65.0
92,7th Phase JP Nagar,2,1100.0,3.0,60.0
93,7th Phase JP Nagar,3,1790.0,3.0,120.0
94,7th Phase JP Nagar,3,1680.0,3.0,117.0
95,7th Phase JP Nagar,2,1050.0,2.0,77.0
96,7th Phase JP Nagar,2,1050.0,2.0,75.0
97,7th Phase JP Nagar,2,1040.0,2.0,75.0
98,7th Phase JP Nagar,3,1400.0,2.0,95.0
99,7th Phase JP Nagar,3,1800.0,3.0,130.0
100,7th Phase JP Nagar,2,1050.0,2.0,68.0
101,7th Phase JP Nagar,2,1000.0,2.0,60.0
102,7th Phase JP Nagar,3,1680.0,3.0,125.0
103,7th Phase JP Nagar,2,1050.0,2.0,77.47
104,7th Phase JP Nagar,2,1270.0,2.0,80.0
105,7th Phase JP Nagar,3,1680.0,3.0,122.0
106,7th Phase JP Nagar,2,1130.0,2.0,85.0
107,7th Phase JP Nagar,3,1680.0,3.0,112.0
108,7th Phase JP Nagar,3,2095.0,3.0,150.0
109,7th Phase JP Nagar,3,1976.0,3.0,145.0
110,7th Phase JP Nagar,3,1600.0,2.0,110.0
111,7th Phase JP Nagar,3,1765.0,3.0,118.0
112,7th Phase JP Nagar,3,1275.0,2.0,88.0
113,7th Phase JP Nagar,3,1450.0,2.0,102.0
114,7th Phase JP Nagar,3,1575.0,2.0,110.0
115,7th Phase JP Nagar,1,750.0,1.0,47.0
116,7th Phase JP Nagar,1,1000.0,1.0,60.0
117,7th Phase JP Nagar,3,1680.0,2.0,92.0
118,7th Phase JP Nagar,3,1430.0,2.0,102.0
119,7th Phase JP Nagar,3,1420.0,3.0,90.0
120,7th Phase JP Nagar,2,1530.0,2.0,108.0
121,8th Phase JP Nagar,2,1073.5,2.0,54.005
122,8th Phase JP Nagar,3,1240.0,3.0,43.5
123,8th Phase JP Nagar,2,1062.0,2.0,42.47
124,8th Phase JP Nagar,3,1230.0,2.0,43.5
125,8th Phase JP Nagar,3,1455.0,3.0,73.31
126,8th Phase JP Nagar,2,1098.0,2.0,43.91
127,8th Phase JP Nagar,3,1800.0,3.0,80.0
128,8th Phase JP Nagar,4,2700.0,4.0,130.0
129,8th Phase JP Nagar,2,1080.0,2.0,38.0
130,8th Phase JP Nagar,2,1062.0,2.0,42.47
131,8th Phase JP Nagar,4,2100.0,4.0,92.0
132,8th Phase JP Nagar,2,1035.0,2.0,39.33
133,8th Phase JP Nagar,2,909.0,2.0,40.9
134,8th Phase JP Nagar,3,1431.5,3.0,72.02
135,8th Phase JP Nagar,3,1900.0,4.0,90.0
136,8th Phase JP Nagar,2,1089.0,2.0,43.55
137,8th Phase JP Nagar,3,1605.0,2.0,65.0
138,8th Phase JP Nagar,3,1504.0,2.0,83.0
139,8th Phase JP Nagar,4,2600.0,4.0,115.0
140,8th Phase JP Nagar,3,1368.0,2.0,54.71
141,8th Phase JP Nagar,2,1089.0,2.0,43.55
142,8th Phase JP Nagar,3,1224.0,2.0,48.95
143,8th Phase JP Nagar,2,1513.0,2.0,62.0
144,8th Phase JP Nagar,2,1298.0,2.0,59.0
145,8th Phase JP Nagar,2,1006.0,2.0,44.0
146,8th Phase JP Nagar,2,1245.0,2.0,59.0
147,8th Phase JP Nagar,2,1510.0,2.0,80.0
148,8th Phase JP Nagar,3,3300.0,3.0,165.0
149,8th Phase JP Nagar,5,1730.0,5.0,75.0
150,8th Phase JP Nagar,3,1296.0,2.0,51.83
151,8th Phase JP Nagar,3,1275.0,3.0,45.0
152,8th Phase JP Nagar,2,1046.0,2.0,48.0
153,8th Phase JP Nagar,3,1269.0,2.0,50.75
154,8th Phase JP Nagar,3,1500.0,2.0,55.0
155,9th Phase JP Nagar,2,1005.0,2.0,50.0
156,9th Phase JP Nagar,3,1890.0,2.0,85.0
157,9th Phase JP Nagar,2,1035.0,2.0,45.0
158,9th Phase JP Nagar,2,1164.0,2.0,56.0
159,9th Phase JP Nagar,2,1005.0,2.0,42.0
160,9th Phase JP Nagar,2,1127.0,2.0,50.0
161,9th Phase JP Nagar,2,1005.0,2.0,43.0
162,9th Phase JP Nagar,2,835.0,2.0,37.0
163,9th Phase JP Nagar,2,660.0,2.0,27.0
164,9th Phase JP Nagar,2,1466.0,2.0,71.0
165,9th Phase JP Nagar,3,1890.0,2.0,93.0
166,9th Phase JP Nagar,2,1480.0,2.0,80.0
167,9th Phase JP Nagar,2,1073.0,2.0,52.36
168,9th Phase JP Nagar,3,1719.3,2.0,88.0
169,9th Phase JP Nagar,3,1780.0,3.0,88.0
170,9th Phase JP Nagar,3,1300.0,2.0,58.0
171,9th Phase JP Nagar,3,1571.0,3.0,65.0
172,9th Phase JP Nagar,4,1900.0,4.0,80.0
173,9th Phase JP Nagar,2,890.0,2.0,45.0
174,9th Phase JP Nagar,2,1331.95,2.0,69.0
175,AECS Layout,2,1199.0,2.0,65.0
176,AECS Layout,2,1080.0,2.0,55.0
177,AECS Layout,2,1308.0,2.0,60.0
178,AECS Layout,3,2000.0,3.0,90.0
179,Abbigere,2,985.0,2.0,40.39
180,Abbigere,1,765.0,2.0,30.0
181,Abbigere,2,880.0,2.0,35.0
182,Abbigere,2,795.0,2.0,32.54
183,Abbigere,2,1005.0,2.0,39.59
184,Abbigere,3,1260.0,2.0,45.0
185,Abbigere,2,1020.0,2.0,41.82
186,Abbigere,2,985.0,2.0,40.39
187,Abbigere,2,795.0,2.0,32.54
188,Abbigere,2,1130.0,2.0,46.33
189,Abbigere,2,795.0,1.0,32.6
190,Abbigere,2,985.0,2.0,38.92
191,Abbigere,2,1000.0,2.0,41.0
192,Abbigere,2,995.0,2.0,40.8
193,Abbigere,2,1020.0,2.0,40.8
194,Akshaya Nagar,2,1070.0,2.0,54.0
195,Akshaya Nagar,3,1662.0,3.0,85.1
196,Akshaya Nagar,3,1410.0,2.0,75.0
197,Akshaya Nagar,3,1662.0,3.0,85.0
198,Akshaya Nagar,3,1662.0,3.0,85.5
199,Akshaya Nagar,2,1280.0,2.0,60.0
200,Akshaya Nagar,3,1430.0,2.0,75.0
201,Akshaya Nagar,3,1419.0,2.0,73.0
202,Akshaya Nagar,2,1280.0,2.0,60.0
203,Akshaya Nagar,2,1092.0,2.0,60.0
204,Akshaya Nagar,3,1690.0,3.0,85.0
205,Akshaya Nagar,3,1700.0,3.0,80.0
206,Akshaya Nagar,3,1897.0,4.0,93.0
207,Akshaya Nagar,3,1884.0,3.0,98.0
208,Akshaya Nagar,2,1314.0,2.0,68.8
209,Akshaya Nagar,3,1690.0,3.0,85.0
210,Akshaya Nagar,2,1265.0,2.0,67.0
211,Akshaya Nagar,2,1126.0,2.0,55.0
212,Akshaya Nagar,3,1662.0,3.0,90.0
213,Akshaya Nagar,3,1420.0,2.0,75.0
214,Akshaya Nagar,3,1890.0,4.0,100.0
215,Akshaya Nagar,3,2650.0,3.0,125.0
216,Akshaya Nagar,3,1690.0,3.0,85.0
217,Akshaya Nagar,2,1113.0,2.0,52.0
218,Akshaya Nagar,3,1820.0,4.0,95.0
219,Akshaya Nagar,3,1896.0,3.0,102.0
220,Akshaya Nagar,2,1300.0,2.0,66.0
221,Akshaya Nagar,2,1225.0,2.0,68.0
222,Akshaya Nagar,3,1421.0,2.0,73.0
223,Akshaya Nagar,3,1893.0,4.0,95.0
224,Akshaya Nagar,2,900.0,2.0,45.0
225,Ambalipura,3,1800.0,3.0,110.0
226,Ambalipura,2,1332.0,2.0,79.0
227,Ambalipura,3,3500.0,3.0,198.0
228,Ambalipura,2,1230.0,2.0,66.25
229,Ambalipura,2,1351.0,2.0,77.0
230,Ambalipura,4,2550.0,4.0,149.0
231,Ambalipura,3,1817.0,3.0,102.0
232,Ambalipura,2,1303.0,2.0,80.0
233,Ambalipura,1,770.0,1.0,43.82
234,Ambalipura,2,1060.0,2.0,58.5
235,Ambalipura,3,1650.0,3.0,100.0
236,Ambalipura,2,1198.0,2.0,80.0
237,Ambedkar Nagar,3,1935.0,4.0,130.0
238,Ambedkar Nagar,2,1424.0,2.0,90.0
239,Ambedkar Nagar,3,1862.0,3.0,120.0
240,Ambedkar Nagar,3,1936.0,4.0,126.0
241,Ambedkar Nagar,3,1862.0,3.0,119.0
242,Ambedkar Nagar,2,1424.0,2.0,90.0
243,Ambedkar Nagar,3,1856.0,3.0,120.0
244,Ambedkar Nagar,3,1852.0,3.0,130.0
245,Ambedkar Nagar,3,1850.0,4.0,120.0
246,Ambedkar Nagar,2,1367.0,2.0,86.0
247,Ambedkar Nagar,2,1409.0,2.0,95.0
248,Ambedkar Nagar,3,1950.0,4.0,120.0
249,Ambedkar Nagar,3,1921.0,4.0,129.0
250,Ambedkar Nagar,3,1920.0,4.0,121.0
251,Ambedkar Nagar,3,1935.0,4.0,125.0
252,Ambedkar Nagar,3,1852.0,4.0,122.0
253,Ambedkar Nagar,3,1950.0,4.0,120.0
254,Ambedkar Nagar,3,1852.0,3.0,125.0
255,Ambedkar Nagar,3,1850.0,4.0,121.0
256,Ambedkar Nagar,2,1425.0,2.0,94.0
257,Ambedkar Nagar,3,2395.0,4.0,150.0
258,Amruthahalli,2,900.0,2.0,40.0
259,Amruthahalli,2,1200.0,2.0,55.0
260,Amruthahalli,2,924.0,2.0,45.0
261,Amruthahalli,2,1200.0,2.0,55.0
262,Amruthahalli,3,1350.0,2.0,63.0
263,Amruthahalli,3,1700.0,3.0,77.0
264,Amruthahalli,3,1450.0,2.0,85.0
265,Amruthahalli,2,1200.0,2.0,55.0
266,Amruthahalli,2,1190.0,2.0,50.0
267,Amruthahalli,2,1202.0,2.0,65.0
268,Amruthahalli,2,1340.0,2.0,75.0
269,Anandapura,2,1167.0,2.0,43.76
270,Anandapura,2,1141.0,2.0,42.79
271,Anandapura,3,1576.0,3.0,59.1
272,Anandapura,2,1200.0,2.0,58.0
273,Anandapura,2,1151.0,2.0,43.1
274,Anandapura,2,1141.0,2.0,42.75
275,Anandapura,2,1151.0,2.0,42.9
276,Anandapura,3,1576.0,3.0,58.0
277,Anandapura,2,1151.0,2.0,43.16
278,Anandapura,2,1200.0,2.0,58.0
279,Anandapura,2,1200.0,2.0,50.0
280,Anandapura,2,1141.0,2.0,50.0
281,Anandapura,3,1576.0,3.0,58.7
282,Ananth Nagar,1,500.0,1.0,14.0
283,Ananth Nagar,2,1100.0,2.0,31.5
284,Ananth Nagar,1,500.0,2.0,14.0
285,Ananth Nagar,2,908.0,2.0,26.0
286,Ananth Nagar,1,500.0,1.0,14.0
287,Ananth Nagar,2,1000.0,2.0,29.7
288,Ananth Nagar,2,850.0,2.0,25.99
289,Ananth Nagar,2,902.0,2.0,25.26
290,Ananth Nagar,2,810.0,2.0,25.5
291,Ananth Nagar,2,890.0,2.0,27.0
292,Ananth Nagar,2,1200.0,2.0,36.0
293,Ananth Nagar,3,1319.0,3.0,37.75
294,Ananth Nagar,3,1319.0,3.0,42.0
295,Ananth Nagar,2,902.0,2.0,25.0
296,Ananth Nagar,2,930.0,2.0,25.99
297,Ananth Nagar,1,500.0,1.0,14.0
298,Anekal,2,1200.0,1.0,36.0
299,Anekal,2,656.0,2.0,22.0
300,Anekal,2,620.0,2.0,22.0
301,Anekal,1,530.0,1.0,18.0
302,Anekal,3,1800.0,3.0,68.0
303,Anekal,2,1200.0,1.0,36.0
304,Anekal,2,1035.0,2.0,38.3
305,Anekal,2,888.0,2.0,34.0
306,Anekal,2,1200.0,2.0,36.1
307,Anekal,2,1200.0,1.0,36.0
308,Anekal,4,1200.0,2.0,36.0
309,Anekal,2,766.0,2.0,28.0
310,Anekal,2,620.0,1.0,23.5
311,Anekal,3,1150.0,3.0,45.0
312,Anekal,2,1200.0,1.0,36.0
313,Anekal,2,1200.0,1.0,36.0
314,Anekal,1,456.0,1.0,15.0
315,Anekal,2,1200.0,1.0,36.0
316,Anekal,2,1200.0,1.0,36.0
317,Anekal,3,2400.0,4.0,95.0
318,Anekal,2,1200.0,2.0,36.1
319,Anekal,2,1200.0,2.0,36.1
320,Anekal,2,680.0,1.0,21.0
321,Anekal,1,420.0,1.0,12.5
322,Anekal,2,625.0,1.0,25.0
323,Anjanapura,4,1850.0,4.0,86.0
324,Anjanapura,2,1070.0,2.0,39.0
325,Anjanapura,2,1070.0,2.0,37.0
326,Anjanapura,2,950.0,2.0,40.0
327,Anjanapura,3,1280.0,2.0,45.0
328,Anjanapura,2,710.0,2.0,25.0
329,Anjanapura,3,1347.0,2.0,37.72
330,Anjanapura,2,950.0,2.0,32.0
331,Anjanapura,4,1800.0,4.0,55.0
332,Anjanapura,3,1843.0,3.0,87.54
333,Anjanapura,2,1076.0,2.0,30.13
334,Anjanapura,2,950.0,2.0,30.0
335,Ardendale,3,1750.0,3.0,100.0
336,Ardendale,4,3198.0,4.0,200.0
337,Ardendale,3,1750.0,3.0,100.0
338,Ardendale,4,3200.0,4.0,205.0
339,Ardendale,3,1728.0,3.0,95.0
340,Ardendale,3,1732.46,3.0,92.0
341,Ardendale,2,1224.0,2.0,70.0
342,Ardendale,3,1777.26,3.0,105.0
343,Ardendale,2,1224.0,2.0,67.0
344,Ardendale,3,1723.0,3.0,95.0
345,Ardendale,3,1777.26,3.0,92.0
346,Arekere,3,1740.0,2.0,95.0
347,Arekere,2,1190.0,2.0,55.0
348,Arekere,1,600.0,1.0,28.0
349,Arekere,3,2072.0,3.0,108.0
350,Arekere,2,1100.0,2.0,55.0
351,Arekere,2,900.0,2.0,50.0
352,Arekere,4,2710.0,6.0,142.0
353,Arekere,2,1240.0,2.0,60.0
354,Arekere,2,900.0,2.0,44.5
355,Attibele,1,450.0,1.0,11.0
356,Attibele,4,1600.0,4.0,52.8
357,Attibele,2,656.0,2.0,25.0
358,Attibele,1,400.0,1.0,11.0
359,Attibele,1,400.0,1.0,12.0
360,Attibele,1,400.0,1.0,14.0
361,Attibele,1,500.0,1.0,17.0
362,Attibele,1,395.0,1.0,10.25
363,Attibele,3,1639.0,2.0,40.98
364,Attibele,1,418.0,1.0,12.0
365,Attibele,2,1200.0,2.0,42.0
366,Attibele,1,400.0,1.0,10.0
367,Attibele,2,695.0,1.0,25.0
368,Attibele,2,850.0,1.0,25.0
369,Attibele,1,450.0,1.0,12.5
370,Attibele,2,995.0,1.0,24.88
371,Attibele,2,900.0,1.0,25.0
372,Attibele,2,1174.0,2.0,29.35
373,Attibele,1,782.0,1.0,19.55
374,Attibele,2,1175.0,2.0,29.38
375,Attibele,2,656.0,2.0,25.0
376,Attibele,1,400.0,1.0,11.5
377,Attibele,1,460.0,1.0,13.0
378,Attibele,1,418.0,2.0,11.5
379,Attibele,2,996.0,2.0,24.9
380,Attibele,1,410.0,1.0,10.0
381,Attibele,3,1700.0,3.0,65.0
382,Attibele,1,400.0,1.0,10.25
383,Attibele,2,656.0,2.0,25.0
384,Attibele,1,520.0,1.0,15.0
385,BEML Layout,2,1060.0,2.0,55.0
386,BEML Layout,3,2000.0,3.0,85.0
387,BEML Layout,2,999.0,2.0,45.0
388,BEML Layout,3,2000.0,2.0,85.0
389,BEML Layout,2,1194.0,2.0,65.0
390,BEML Layout,2,1200.0,2.0,67.0
391,BEML Layout,3,2000.0,3.0,85.0
392,BEML Layout,3,2000.0,3.0,85.0
393,BEML Layout,2,1194.0,2.0,65.0
394,BTM 2nd Stage,2,950.0,2.0,52.0
395,BTM 2nd Stage,3,1850.0,3.0,170.0
396,BTM 2nd Stage,2,1200.0,2.0,80.0
397,BTM 2nd Stage,2,1274.0,2.0,70.0
398,BTM 2nd Stage,2,1070.0,2.0,48.0
399,BTM 2nd Stage,2,1280.0,2.0,80.0
400,BTM 2nd Stage,2,1100.0,2.0,70.0
401,BTM 2nd Stage,2,1000.0,2.0,58.0
402,BTM 2nd Stage,2,1265.0,2.0,55.0
403,BTM 2nd Stage,3,2200.0,3.0,220.0
404,BTM 2nd Stage,2,965.0,2.0,56.0
405,BTM 2nd Stage,2,1147.0,2.0,75.0
406,BTM 2nd Stage,3,1750.0,3.0,172.0
407,BTM 2nd Stage,2,1400.0,2.0,90.0
408,BTM 2nd Stage,2,1200.0,2.0,70.0
409,BTM 2nd Stage,2,1100.0,2.0,47.0
410,BTM 2nd Stage,2,930.0,2.0,46.0
411,BTM 2nd Stage,3,1265.0,2.0,55.0
412,BTM Layout,2,1150.0,2.0,63.0
413,BTM Layout,6,3300.0,6.0,165.0
414,BTM Layout,3,1450.0,2.0,81.0
415,BTM Layout,3,1458.0,3.0,79.0
416,BTM Layout,2,935.0,2.0,51.5
417,BTM Layout,2,1020.0,2.0,46.5
418,BTM Layout,3,1300.0,2.0,75.0
419,BTM Layout,3,1540.0,2.0,78.0
420,BTM Layout,2,1196.0,2.0,56.81
421,Babusapalaya,3,1213.0,2.0,41.39
422,Babusapalaya,3,1611.0,2.0,66.0
423,Babusapalaya,3,1167.0,2.0,39.98
424,Babusapalaya,2,1141.0,2.0,46.0
425,Babusapalaya,2,1500.0,2.0,57.0
426,Babusapalaya,2,1141.0,2.0,45.9
427,Babusapalaya,2,1105.0,2.0,40.0
428,Babusapalaya,2,1450.0,2.0,55.99
429,Babusapalaya,2,1100.0,2.0,38.0
430,Babusapalaya,2,1061.0,2.0,38.95
431,Badavala Nagar,3,1494.0,2.0,94.55
432,Badavala Nagar,3,1494.0,2.0,94.55
433,Badavala Nagar,3,1494.0,2.0,94.55
434,Balagere,2,1210.0,2.0,72.0
435,Balagere,2,1205.0,2.0,78.5
436,Balagere,2,1145.0,2.0,65.0
437,Balagere,2,1007.0,2.0,65.0
438,Balagere,2,1205.0,2.0,70.0
439,Balagere,2,1210.0,2.0,74.0
440,Balagere,1,675.0,1.0,45.0
441,Balagere,1,656.0,1.0,43.0
442,Balagere,2,1012.0,2.0,64.0
443,Balagere,2,1007.0,2.0,62.0
444,Balagere,2,1007.0,2.0,67.0
445,Balagere,2,1007.0,2.0,66.0
446,Balagere,2,1210.0,2.0,69.0
447,Balagere,2,1012.0,2.0,65.0
448,Balagere,1,656.0,1.0,38.77
449,Balagere,1,645.0,1.0,39.0
450,Balagere,1,645.0,1.0,41.0
451,Balagere,2,1205.0,2.0,73.87
452,Balagere,2,1205.0,2.0,67.0
453,Balagere,2,1205.0,2.0,79.0
454,Banashankari,3,1470.0,2.0,88.64
455,Banashankari,3,1300.0,2.0,75.0
456,Banashankari,3,1800.0,3.0,115.0
457,Banashankari,2,1125.0,2.0,63.0
458,Banashankari,3,1340.0,2.0,53.6
459,Banashankari,2,1310.0,2.0,80.0
460,Banashankari,3,2600.0,4.0,135.0
461,Banashankari,2,1260.0,2.0,75.0
462,Banashankari,2,1170.0,2.0,46.79
463,Banashankari,3,1350.0,2.0,83.0
464,Banashankari,2,1330.0,2.0,78.0
465,Banashankari,3,1400.0,2.0,78.0
466,Banashankari,2,1020.0,2.0,40.79
467,Banashankari,2,1600.0,2.0,63.98
468,Banashankari,2,1390.0,2.0,86.0
469,Banashankari,2,1460.0,2.0,70.0
470,Banashankari,2,1200.0,2.0,60.0
471,Banashankari,2,1290.0,2.0,80.0
472,Banashankari,2,1186.0,2.0,65.0
473,Banashankari,3,1650.0,3.0,101.0
474,Banashankari,3,1300.0,2.0,55.0
475,Banashankari,2,1181.0,2.0,75.0
476,Banashankari,2,1040.0,2.0,45.0
477,Banashankari,2,1330.0,2.0,77.0
478,Banashankari,2,1200.0,2.0,49.0
479,Banashankari,2,1185.0,2.0,67.0
480,Banashankari,2,1000.0,2.0,50.0
481,Banashankari,3,1650.0,3.0,90.75
482,Banashankari,3,1650.0,3.0,101.0
483,Banashankari,2,1310.0,2.0,80.43
484,Banashankari,2,600.0,1.0,27.0
485,Banashankari,2,1430.0,2.0,87.8
486,Banashankari,2,1020.0,2.0,42.83
487,Banashankari,3,1540.0,3.0,80.0
488,Banashankari,3,1683.0,3.0,115.0
489,Banashankari,3,1800.0,3.0,125.0
490,Banashankari,3,1750.0,2.0,89.0
491,Banashankari,3,1770.0,3.0,108.0
492,Banashankari,3,1800.0,3.0,125.0
493,Banashankari,3,1420.0,3.0,66.0
494,Banashankari,3,1200.0,3.0,74.52
495,Banashankari,2,1100.0,2.0,63.0
496,Banashankari,2,1020.0,2.0,40.79
497,Banashankari,2,1260.0,2.0,75.0
498,Banashankari,3,1340.0,2.0,53.6
499,Banashankari,3,1426.0,3.0,85.0
500,Banashankari Stage II,2,1700.0,2.0,150.0
501,Banashankari Stage II,4,1200.0,2.0,150.0
502,Banashankari Stage II,3,1500.0,2.0,120.0
503,Banashankari Stage II,2,1250.0,2.0,110.0
504,Banashankari Stage II,3,1260.0,2.0,95.0
505,Banashankari Stage II,3,2400.0,2.0,300.0
506,Banashankari Stage II,2,1400.0,2.0,100.0
507,Banashankari Stage II,5,2800.0,3.0,425.0
508,Banashankari Stage II,3,3000.0,3.0,450.0
509,Banashankari Stage II,2,1245.0,2.0,125.0
510,Banashankari Stage III,3,1305.0,2.0,58.7
511,Banashankari Stage III,2,1145.0,2.0,58.4
512,Banashankari Stage III,3,1650.0,3.0,118.0
513,Banashankari Stage III,3,1350.0,2.0,68.0
514,Banashankari Stage III,4,2000.0,4.0,100.0
515,Banashankari Stage III,3,1305.0,2.0,59.0
516,Banashankari Stage III,3,1305.0,2.0,60.0
517,Banashankari Stage III,3,1305.0,2.0,59.0
518,Banashankari Stage III,3,1480.0,3.0,75.48
519,Banashankari Stage III,3,1305.0,2.0,59.0
520,Banashankari Stage III,6,3000.0,6.0,150.0
521,Banashankari Stage III,2,1085.0,2.0,50.0
522,Banashankari Stage III,3,1500.0,2.0,100.0
523,Banashankari Stage III,4,2100.0,3.0,147.0
524,Banashankari Stage III,3,1420.0,2.0,95.0
525,Banashankari Stage V,3,1305.0,2.0,49.0
526,Banashankari Stage V,2,1035.0,2.0,35.77
527,Banashankari Stage V,3,1510.0,3.0,47.57
528,Banashankari Stage V,3,1650.0,3.0,51.98
529,Banashankari Stage V,3,1630.0,3.0,51.35
530,Banashankari Stage V,3,1510.0,3.0,47.57
531,Banashankari Stage V,3,1315.0,2.0,49.0
532,Banashankari Stage V,3,1540.0,3.0,48.51
533,Banashankari Stage VI,2,1177.5,2.0,59.935
534,Banashankari Stage VI,4,4800.0,4.0,190.0
535,Banashankari Stage VI,2,1160.0,2.0,59.0
536,Banashankari Stage VI,2,1180.0,2.0,59.47
537,Banashankari Stage VI,3,1423.0,2.0,71.73
538,Banashankari Stage VI,3,1392.0,3.0,69.46
539,Banashankari Stage VI,3,1410.5,2.0,70.385
